"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
16,32,"within","122","7","c","8","d",93.0000000000004,93.000000000001,93.0000000000004,-0.62075259496056,-0.130588763039156,-0.62075259496056,0.5362807817403,0.896382694551326,0.5362807817403,0.480479382973055
16,32,"within","123","1","a c","2","b c",92.9999999999992,93.000000000001,92.9999999999998,1.93208442919543,-1.64736300981109,-1.40749472674635,0.0563927725848311,0.102858360781034,0.162614351216812,0.246213505975902
16,32,"within","124","1","a c","3","a d",92.9999999999992,93.000000000001,92.9999999999998,-0.782383998894726,-0.435254667912416,-1.46436320055428,0.435976513103168,0.664386041575469,0.146466971125094,0.177624359261245
16,32,"within","125","1","a c","4","b d",92.9999999999992,93.0000000000004,92.9999999999998,2.37653731119665,-1.39678874168217,-1.2795406606785,0.0195256259094052,0.165801458679457,0.203889737290251,0.119450366124511
16,32,"within","126","2","b c","3","a d",92.9999999999992,93.000000000001,92.9999999999998,-2.71446842809015,1.21210834189867,0.0568684738079333,0.00791228132083711,0.22854136359029,0.954771972309131,0.746825552545488
16,32,"within","127","2","b c","4","b d",92.9999999999992,93.000000000001,92.9999999999998,0.444452882001229,0.250574268128915,0.12795406606785,0.657747762551677,0.802696025159391,0.898461604677504,0.846459819935262
16,32,"within","128","3","a d","4","b d",92.9999999999992,93.000000000001,92.9999999999992,3.15892131009138,-0.961534073769757,0.184822539875783,0.00213639722859229,0.338777076845364,0.853770681728129,0.746825552545488
17,32,"within","129","5","a","6","b",93.0000000000004,93.000000000001,93.0000000000004,-1.26502771254948,0.53322914306193,-1.26502771254948,0.209022011486032,0.595146992033794,0.209022011486032,0.906835224503961
17,32,"within","130","7","c","8","d",93.0000000000004,93.0000000000004,93.0000000000004,0.816673029994954,0.954108410555766,0.816673029994954,0.416202381645238,0.342502167464395,0.416202381645238,0.333871860971184
17,32,"within","131","1","a c","2","b c",93.0000000000004,93.0000000000004,93.0000000000004,-2.59766253523247,0.0267147637469284,-0.65844503072904,0.0109122272828084,0.978744479079575,0.511879001239306,0.476750775240362
