,Population_Distribution,Layout,BW,Condition_Sample_Size,Contrast_Size,ART_Con_Num_Sig,Param_Num_Sig,Nonparam_Num_Sig,ART_Omni_Num_Sig,ART_Con_Proportion_Sig,Param_Proportion_Sig,Nonparam_Proportion_Sig,ART_Omni_Proportion_Sig,Num_Trials
232,111,2x2x2,between,24,2,2483,1799,2090,1906,0.714738054,0.517846862,0.601611975,0.548647093,3474
233,111,2x2x2,between,24,3,3849,2375,3753,2489,0.712250185,0.439489267,0.694485566,0.460584752,5404
234,111,2x2x2,between,40,1,474,362,379,474,0.827225131,0.631762653,0.661431065,0.827225131,573
235,111,2x2x2,between,40,2,2576,2028,2351,2188,0.749272833,0.589877836,0.683827807,0.636416521,3438
236,111,2x2x2,between,40,3,4102,2652,4028,2916,0.767015707,0.495886313,0.753178758,0.545250561,5348
237,111,2x2x2,between,32,1,500,380,375,500,0.833333333,0.633333333,0.625,0.833333333,600
238,111,2x2x2,between,32,2,2656,2026,2406,2229,0.737777778,0.562777778,0.668333333,0.619166667,3600
239,111,2x2x2,between,32,3,4137,2608,4031,2858,0.73875,0.465714286,0.719821429,0.510357143,5600
240,111,2x2x2,between,8,1,375,210,232,375,0.628140704,0.351758794,0.388609715,0.628140704,597
241,111,2x2x2,between,8,2,1711,1189,1395,1346,0.477666108,0.331937465,0.389447236,0.375767728,3582
242,111,2x2x2,between,8,3,2875,1574,2669,1565,0.515972721,0.282483848,0.479002154,0.280868629,5572
243,111,2x2x2,between,16,1,472,322,323,472,0.725038402,0.494623656,0.496159754,0.725038402,651
244,111,2x2x2,between,16,2,2373,1721,2048,1983,0.607526882,0.440604199,0.524321557,0.507680492,3906
245,111,2x2x2,between,16,3,3826,2212,3641,2375,0.629690586,0.3640553,0.599242923,0.390882159,6076
246,111,2x2x2,within,40,1,501,366,377,501,0.835,0.61,0.628333333,0.835,600
247,111,2x2x2,within,40,2,2663,1925,2356,2375,0.739722222,0.534722222,0.654444444,0.659722222,3600
248,111,2x2x2,within,40,3,4195,2582,4036,3345,0.749107143,0.461071429,0.720714286,0.597321429,5600
249,111,2x2x2,within,8,1,370,203,192,370,0.649122807,0.356140351,0.336842105,0.649122807,570
250,111,2x2x2,within,8,2,1519,1061,1223,1285,0.444152047,0.310233918,0.357602339,0.375730994,3420
251,111,2x2x2,within,8,3,2647,1447,2041,1670,0.497556391,0.271992481,0.383646617,0.313909774,5320
252,111,2x2x2,within,32,1,473,330,338,473,0.847670251,0.591397849,0.605734767,0.847670251,558
253,111,2x2x2,within,32,2,2444,1743,2189,2200,0.729988053,0.520609319,0.653823178,0.657108722,3348
254,111,2x2x2,within,32,3,3857,2214,3686,2958,0.740591398,0.425115207,0.707757296,0.56797235,5208
255,111,2x2x2,within,24,1,454,312,326,454,0.818018018,0.562162162,0.587387387,0.818018018,555
256,111,2x2x2,within,24,2,2256,1575,1986,2038,0.677477477,0.472972973,0.596396396,0.612012012,3330
257,111,2x2x2,within,24,3,3629,1975,3403,2754,0.700579151,0.381274131,0.656949807,0.531660232,5180
258,111,2x2x2,within,16,1,461,281,295,461,0.760726073,0.46369637,0.48679868,0.760726073,606
259,111,2x2x2,within,16,2,2164,1444,1855,1932,0.595159516,0.397139714,0.510176018,0.531353135,3636
260,111,2x2x2,within,16,3,3509,1881,3167,2618,0.620403112,0.332567185,0.559936351,0.462871287,5656
261,111,3x3,between,24,1,921,664,736,921,0.771356784,0.556113903,0.61641541,0.771356784,1194
262,111,3x3,between,24,2,5069,3011,4941,4617,0.707565606,0.420295924,0.689698492,0.644472362,7164
263,111,3x3,between,16,1,814,569,583,814,0.681742044,0.476549414,0.488274707,0.681742044,1194
264,111,3x3,between,16,2,4594,2600,4369,4150,0.641261865,0.36292574,0.60985483,0.579285315,7164
